"gender","race/ethnicity","parental level of education","lunch","test preparation course","math score","reading score","writing score"
"male","group C","associate's degree","standard","completed","98","89","90"
"female","group C","bachelor's degree","standard","completed","73","71","79"
"male","group A","high school","free/reduced","none","51","51","41"
"male","group C","associate's degree","free/reduced","completed","58","60","64"
"female","group A","high school","standard","completed","58","65","67"
"female","group C","some college","standard","none","75","79","77"
"male","group C","some high school","standard","none","80","66","61"
"female","group D","some high school","standard","none","62","79","74"
"female","group B","high school","standard","none","41","48","43"
"male","group E","high school","free/reduced","none","81","79","70"
"female","group D","master's degree","standard","none","48","57","61"
"female","group C","some college","standard","none","77","81","80"
"male","group C","associate's degree","free/reduced","none","41","50","44"
"female","group D","high school","free/reduced","none","45","55","54"
"male","group D","high school","free/reduced","completed","76","86","89"
"female","group C","associate's degree","standard","none","80","82","78"
"male","group C","high school","free/reduced","none","23","26","15"
"male","group A","high school","free/reduced","none","51","57","51"
"male","group D","some high school","standard","none","56","57","57"
"female","group A","some college","standard","none","80","75","77"
"male","group C","high school","free/reduced","none","41","40","34"
"female","group D","some high school","free/reduced","none","27","41","44"
"female","group C","some high school","free/reduced","completed","51","67","67"
"female","group C","high school","free/reduced","completed","76","86","87"
"male","group A","associate's degree","free/reduced","none","56","54","47"
"male","group E","some high school","free/reduced","none","83","69","65"
"female","group C","some college","standard","none","76","79","80"
"female","group C","associate's degree","standard","completed","70","78","81"
"male","group C","high school","free/reduced","none","58","56","53"
"male","group C","high school","free/reduced","none","68","74","67"
"male","group C","associate's degree","free/reduced","none","70","69","58"
"male","group C","associate's degree","standard","completed","81","78","88"
"male","group B","some high school","free/reduced","completed","47","50","48"
"male","group E","some high school","standard","completed","95","90","84"
"female","group C","master's degree","free/reduced","none","51","68","68"
"female","group C","associate's degree","standard","completed","52","51","63"
"male","group C","master's degree","free/reduced","none","73","79","74"
"female","group E","bachelor's degree","free/reduced","completed","91","99","100"
"female","group C","associate's degree","free/reduced","none","48","66","67"
"female","group B","some high school","standard","none","66","73","70"
"male","group B","high school","standard","completed","80","78","84"
"male","group C","high school","free/reduced","none","73","68","65"
"female","group C","high school","free/reduced","completed","53","72","77"
"female","group C","associate's degree","standard","none","47","60","57"
"male","group A","associate's degree","free/reduced","completed","89","82","84"
"male","group D","bachelor's degree","standard","none","82","78","73"
"female","group E","bachelor's degree","standard","none","89","90","91"
"male","group C","associate's degree","standard","none","62","55","46"
"male","group C","some high school","free/reduced","none","65","64","58"
"female","group C","some college","free/reduced","none","41","59","47"
"female","group A","high school","standard","completed","84","92","98"
"female","group D","high school","standard","completed","51","69","65"
"male","group B","high school","standard","none","77","60","63"
"female","group B","associate's degree","free/reduced","completed","59","65","68"
"female","group D","some high school","standard","none","51","59","56"
"male","group A","some high school","standard","completed","85","87","89"
"male","group B","high school","standard","completed","100","92","92"
"female","group C","some high school","free/reduced","completed","25","46","46"
"female","group B","high school","standard","none","55","53","56"
"male","group C","some college","standard","none","74","64","60"
"male","group D","high school","free/reduced","none","44","53","46"
"male","group C","some college","standard","none","67","45","53"
"female","group C","some high school","free/reduced","none","41","56","53"
"female","group D","high school","free/reduced","none","31","42","44"
"female","group D","some college","standard","none","85","96","98"
"male","group D","some college","free/reduced","none","52","55","58"
"female","group C","master's degree","free/reduced","none","53","68","62"
"female","group C","some college","free/reduced","none","65","73","75"
"female","group D","some high school","standard","none","75","78","78"
"female","group D","some high school","standard","completed","89","96","100"
"female","group E","high school","free/reduced","none","79","88","90"
"female","group E","high school","standard","none","46","43","45"
"male","group D","high school","standard","none","62","66","61"
"male","group D","master's degree","free/reduced","none","84","79","76"
"female","group D","bachelor's degree","standard","none","49","65","65"
"female","group E","master's degree","free/reduced","completed","62","73","69"
"male","group C","some high school","free/reduced","completed","59","59","62"
"female","group D","some high school","standard","none","54","76","69"
"female","group E","high school","free/reduced","completed","56","70","70"
"male","group C","associate's degree","standard","completed","81","71","74"
"male","group B","some college","standard","none","70","68","61"
"female","group C","high school","free/reduced","none","31","48","45"
"male","group B","associate's degree","standard","completed","76","79","74"
"male","group C","associate's degree","free/reduced","completed","72","78","78"
"male","group D","associate's degree","free/reduced","none","70","77","76"
"female","group C","some college","standard","none","58","72","66"
"male","group C","some high school","free/reduced","completed","68","78","69"
"female","group C","some high school","standard","none","50","69","60"
"female","group B","some college","free/reduced","none","36","38","39"
"female","group C","some college","free/reduced","none","49","62","57"
"male","group B","associate's degree","standard","none","55","58","54"
"male","group B","associate's degree","free/reduced","none","58","56","57"
"female","group B","associate's degree","standard","none","56","62","62"
"male","group D","some college","free/reduced","none","61","55","58"
"female","group C","high school","standard","completed","63","75","71"
"male","group D","associate's degree","free/reduced","completed","65","76","71"
"male","group D","high school","standard","none","79","70","78"
"male","group B","associate's degree","free/reduced","none","78","71","67"
"male","group D","some high school","free/reduced","none","33","27","25"
"male","group D","some college","standard","none","65","58","61"
"male","group C","associate's degree","standard","none","66","64","57"
"male","group B","some high school","standard","completed","82","79","71"
"male","group C","some high school","standard","none","81","86","74"
"female","group B","some high school","standard","completed","73","84","82"
"female","group C","some college","free/reduced","completed","58","78","75"
"male","group B","some high school","standard","none","55","54","56"
"male","group D","some college","standard","none","64","59","56"
"female","group C","some college","free/reduced","none","51","62","52"
"female","group D","some college","standard","none","76","76","81"
"female","group C","high school","standard","none","94","94","94"
"male","group C","high school","standard","none","81","74","71"
"female","group D","bachelor's degree","standard","none","72","79","75"
"male","group A","associate's degree","standard","none","64","55","47"
"female","group D","some college","standard","none","52","62","65"
"male","group C","high school","free/reduced","completed","46","47","48"
"male","group A","associate's degree","free/reduced","none","59","65","57"
"female","group B","associate's degree","standard","completed","86","97","100"
"male","group E","some college","standard","none","87","73","66"
"male","group C","bachelor's degree","free/reduced","completed","77","70","70"
"male","group C","some college","standard","none","72","67","54"
"female","group D","high school","standard","none","89","86","93"
"male","group D","some college","standard","completed","78","70","76"
"female","group C","high school","standard","none","60","67","62"
"male","group E","associate's degree","free/reduced","completed","65","64","58"
"female","group D","some high school","standard","none","77","80","74"
"female","group D","some college","standard","none","62","58","59"
"male","group A","some college","standard","none","60","55","53"
"female","group C","some high school","standard","none","57","58","60"
"female","group C","associate's degree","free/reduced","completed","49","69","65"
"male","group B","some high school","free/reduced","none","58","60","53"
"female","group C","associate's degree","standard","completed","83","82","89"
"female","group E","bachelor's degree","standard","none","73","70","73"
"male","group C","master's degree","standard","completed","93","92","99"
"female","group C","associate's degree","standard","completed","61","79","83"
"male","group C","some high school","free/reduced","completed","57","59","56"
"male","group B","some college","standard","completed","65","61","54"
"male","group C","associate's degree","free/reduced","completed","65","62","61"
"male","group E","high school","free/reduced","none","78","62","61"
"male","group D","high school","standard","completed","68","70","67"
"female","group C","high school","standard","none","44","63","60"
"female","group D","some high school","standard","none","53","66","60"
"male","group C","associate's degree","standard","completed","72","73","68"
"male","group C","some high school","standard","none","42","36","33"
"male","group C","some college","free/reduced","none","60","68","58"
"female","group B","some high school","standard","completed","56","68","71"
"female","group C","some college","standard","none","68","77","79"
"male","group C","high school","free/reduced","none","51","53","48"
"male","group D","some college","standard","completed","81","79","82"
"male","group E","associate's degree","standard","completed","100","100","99"
"male","group C","some college","standard","none","61","63","63"
"male","group C","some high school","standard","none","74","64","63"
"male","group E","associate's degree","free/reduced","none","66","75","67"
"female","group D","associate's degree","standard","none","65","59","64"
"male","group D","some high school","free/reduced","none","67","69","69"
"female","group A","some high school","standard","none","55","62","58"
"male","group D","high school","standard","none","68","63","63"
"male","group E","some college","free/reduced","none","76","63","71"
"female","group B","associate's degree","standard","none","79","91","90"
"male","group C","some high school","free/reduced","none","47","43","36"
"female","group E","some college","free/reduced","none","60","67","70"
"male","group C","some college","free/reduced","completed","48","60","54"
"male","group C","bachelor's degree","standard","none","68","62","61"
"male","group B","bachelor's degree","standard","none","67","67","67"
"female","group B","master's degree","free/reduced","completed","84","91","90"
"female","group C","high school","standard","completed","79","87","88"
"female","group B","high school","standard","completed","88","94","94"
"male","group C","master's degree","free/reduced","none","72","76","68"
"male","group A","some high school","free/reduced","completed","75","63","68"
"male","group C","some college","free/reduced","none","86","86","77"
"female","group E","associate's degree","standard","none","70","74","66"
"male","group C","bachelor's degree","standard","none","99","88","89"
"male","group B","some college","standard","none","96","88","79"
"female","group C","some college","standard","none","49","54","55"
"male","group D","some college","standard","none","70","66","64"
"female","group D","high school","standard","completed","71","84","91"
"male","group C","high school","standard","none","59","49","50"
"female","group D","some college","free/reduced","completed","57","62","68"
"male","group B","some high school","standard","none","74","63","60"
"male","group D","associate's degree","standard","none","66","53","58"
"female","group D","some college","standard","none","89","89","94"
"male","group C","some college","standard","none","63","62","62"
"male","group C","bachelor's degree","standard","none","72","72","61"
"male","group C","associate's degree","standard","completed","89","88","88"
"male","group B","bachelor's degree","standard","completed","71","79","76"
"male","group A","some high school","standard","none","85","75","76"
"female","group C","master's degree","standard","none","71","83","83"
"female","group B","some college","free/reduced","none","41","54","45"
"male","group C","associate's degree","free/reduced","none","52","44","49"
"female","group C","high school","free/reduced","none","23","40","36"
"female","group A","master's degree","standard","none","85","86","87"
"female","group E","some high school","free/reduced","none","41","33","36"
"female","group D","some high school","free/reduced","completed","34","66","62"
"female","group A","high school","standard","completed","50","65","62"
"male","group C","some high school","standard","completed","85","83","79"
"male","group E","associate's degree","free/reduced","none","26","11","14"
"female","group E","bachelor's degree","standard","completed","97","100","100"
"male","group E","bachelor's degree","standard","none","77","72","73"
"female","group D","associate's degree","standard","none","72","81","84"
"female","group C","some high school","free/reduced","none","39","46","48"
"male","group C","associate's degree","standard","none","54","40","37"
"female","group D","bachelor's degree","standard","completed","74","83","91"
"female","group E","high school","standard","none","57","60","61"
"male","group C","some college","free/reduced","completed","26","20","22"
"male","group C","bachelor's degree","standard","completed","66","67","65"
"female","group A","some college","standard","none","70","72","75"
"male","group C","some college","free/reduced","none","60","64","59"
"male","group B","some college","standard","none","54","60","53"
"female","group C","some college","standard","completed","66","69","72"
"male","group B","some college","standard","completed","94","86","90"
"male","group A","associate's degree","free/reduced","none","72","66","60"
"female","group C","some college","standard","completed","84","100","100"
"male","group C","associate's degree","standard","completed","89","88","86"
"male","group D","some high school","standard","none","73","75","62"
"male","group D","high school","standard","completed","54","58","63"
"male","group C","high school","standard","none","55","55","49"
"male","group C","master's degree","standard","none","56","62","62"
"male","group A","some high school","free/reduced","completed","83","77","73"
"male","group A","some high school","standard","none","50","52","49"
"male","group D","some high school","standard","none","69","65","67"
"female","group A","bachelor's degree","standard","completed","70","84","85"
"female","group B","high school","standard","completed","75","87","89"
"male","group C","bachelor's degree","standard","none","69","70","59"
"male","group A","some high school","free/reduced","completed","77","68","72"
"male","group C","some college","standard","completed","80","76","78"
"female","group A","master's degree","free/reduced","completed","54","68","67"
"male","group B","high school","free/reduced","none","63","53","44"
"male","group A","master's degree","free/reduced","none","53","56","59"
"male","group A","some college","standard","none","58","56","51"
"male","group C","some college","standard","none","61","65","61"
"male","group C","some college","standard","completed","64","56","58"
"male","group D","some high school","free/reduced","none","26","32","27"
"male","group C","some college","standard","completed","89","80","77"
"male","group C","some college","free/reduced","completed","59","60","58"
"male","group D","bachelor's degree","standard","completed","100","78","90"
"male","group C","some high school","standard","none","63","66","62"
"male","group E","some college","standard","completed","100","100","100"
"male","group D","associate's degree","standard","completed","86","82","86"
"male","group A","bachelor's degree","free/reduced","none","77","69","71"
"male","group C","some college","free/reduced","none","39","42","37"
"male","group C","high school","standard","none","62","46","49"
"male","group C","some high school","standard","completed","66","60","60"
"male","group C","some college","standard","completed","93","100","99"
"male","group B","some high school","free/reduced","completed","62","52","56"
"male","group E","associate's degree","standard","none","100","81","88"
"female","group C","some high school","standard","completed","64","78","75"
"female","group A","bachelor's degree","free/reduced","completed","40","55","59"
"male","group C","associate's degree","free/reduced","none","58","52","47"
"male","group E","some college","standard","completed","75","73","72"
"male","group D","some college","standard","none","87","87","77"
"male","group D","high school","standard","completed","78","82","82"
"female","group A","associate's degree","free/reduced","none","43","52","51"
"male","group E","some college","standard","completed","82","75","71"
"male","group B","associate's degree","free/reduced","none","65","66","62"
"female","group C","associate's degree","standard","completed","92","100","100"
"male","group D","associate's degree","standard","completed","91","83","85"
"female","group C","some college","standard","none","78","89","87"
"female","group B","some high school","standard","none","49","57","54"
"male","group B","bachelor's degree","standard","completed","71","73","72"
"female","group A","some high school","standard","none","60","65","60"
"female","group D","high school","standard","none","71","79","72"
"male","group E","some high school","standard","none","77","80","74"
"female","group D","associate's degree","standard","none","51","52","57"
"male","group D","bachelor's degree","free/reduced","completed","57","57","64"
"male","group B","master's degree","standard","none","66","57","53"
"female","group C","some college","standard","completed","78","86","87"
"female","group D","some college","standard","completed","66","77","87"
"male","group D","master's degree","free/reduced","completed","67","64","69"
"female","group C","bachelor's degree","standard","none","60","67","66"
"female","group C","some college","free/reduced","none","37","46","43"
"male","group E","high school","standard","none","85","78","70"
"male","group B","some high school","free/reduced","none","34","20","25"
"male","group C","associate's degree","free/reduced","completed","69","71","68"
"female","group E","high school","free/reduced","none","72","76","80"
"female","group C","high school","standard","completed","53","63","65"
"female","group C","high school","standard","none","45","47","50"
"female","group D","bachelor's degree","free/reduced","none","42","57","57"
"female","group D","master's degree","standard","completed","51","68","72"
"male","group C","some high school","free/reduced","none","73","68","61"
"female","group C","some high school","standard","none","64","70","71"
"female","group B","high school","standard","completed","85","95","92"
"female","group B","master's degree","free/reduced","completed","43","62","65"
"male","group C","some high school","free/reduced","none","72","78","66"
"male","group D","some high school","free/reduced","completed","70","70","68"
"male","group C","some high school","standard","completed","87","79","82"
"male","group D","some college","standard","none","84","73","77"
"male","group C","some college","standard","none","72","66","58"
"female","group D","high school","free/reduced","completed","70","86","89"
"male","group C","high school","standard","none","77","81","72"
"female","group A","some college","standard","none","57","64","63"
"male","group A","bachelor's degree","standard","none","75","70","72"
"female","group B","some college","free/reduced","none","30","40","41"
"female","group C","some college","standard","none","44","57","53"
"female","group B","associate's degree","free/reduced","none","29","44","43"
"male","group B","some high school","free/reduced","none","25","36","27"
"female","group C","associate's degree","free/reduced","none","48","66","67"
"female","group A","high school","standard","none","60","64","66"
"male","group D","high school","standard","none","71","65","58"
"female","group D","some college","free/reduced","none","55","72","65"
"male","group E","some college","free/reduced","none","60","48","38"
"female","group D","some high school","standard","none","83","77","78"
"male","group C","bachelor's degree","standard","completed","100","100","100"
"male","group D","some college","standard","completed","84","78","77"
"male","group D","some high school","standard","none","65","61","55"
"female","group B","associate's degree","standard","completed","80","87","96"
"female","group E","some college","standard","none","66","67","67"
"male","group C","some college","standard","none","91","87","86"
"male","group D","associate's degree","free/reduced","none","61","67","68"
"male","group D","some college","standard","none","63","63","69"
"female","group D","some high school","standard","none","55","61","57"
"female","group D","some high school","standard","completed","81","99","93"
"female","group A","some college","free/reduced","completed","47","46","57"
"female","group A","master's degree","free/reduced","completed","68","73","73"
"female","group C","some college","standard","none","72","79","75"
"female","group C","some high school","standard","none","52","62","61"
"female","group E","some college","standard","none","81","74","78"
"female","group B","bachelor's degree","standard","completed","75","96","98"
"female","group D","some high school","free/reduced","none","58","75","73"
"male","group D","associate's degree","standard","completed","69","66","68"
"male","group C","associate's degree","standard","none","50","56","50"
"female","group C","some college","standard","completed","78","89","94"
"male","group E","associate's degree","standard","none","91","80","74"
"female","group D","some high school","free/reduced","completed","45","55","63"
"female","group C","some high school","free/reduced","none","67","83","77"
"female","group C","master's degree","standard","completed","79","91","93"
"female","group B","associate's degree","free/reduced","completed","56","75","73"
"female","group D","associate's degree","free/reduced","none","49","52","54"
"female","group D","high school","standard","completed","65","82","79"
"male","group D","some high school","free/reduced","none","60","58","53"
"female","group E","associate's degree","free/reduced","none","68","75","76"
"male","group D","associate's degree","standard","none","79","77","78"
"female","group D","some high school","standard","completed","68","78","82"
"male","group D","high school","standard","none","53","44","41"
"female","group C","associate's degree","standard","completed","50","61","60"
"female","group D","high school","free/reduced","none","73","84","86"
"male","group E","bachelor's degree","standard","completed","100","86","87"
"male","group B","associate's degree","standard","none","72","67","59"
"male","group D","bachelor's degree","free/reduced","none","49","52","53"
"female","group D","bachelor's degree","standard","completed","54","65","68"
"male","group D","bachelor's degree","standard","none","73","70","69"
"male","group D","associate's degree","standard","none","77","74","75"
"male","group D","some college","standard","none","74","79","71"
"female","group C","some college","standard","none","59","70","70"
"female","group E","bachelor's degree","standard","none","93","95","97"
"male","group D","associate's degree","free/reduced","none","65","61","62"
"male","group D","some college","standard","none","77","76","77"
"female","group C","some college","free/reduced","completed","45","59","53"
"female","group C","associate's degree","standard","none","83","96","95"
"male","group E","high school","free/reduced","none","71","72","61"
"female","group E","bachelor's degree","free/reduced","completed","87","98","95"
"male","group B","some college","free/reduced","none","78","79","70"
"male","group C","some high school","free/reduced","completed","25","28","31"
"male","group A","some high school","standard","none","85","80","76"
"male","group E","some high school","standard","none","68","67","65"
"male","group C","high school","free/reduced","completed","42","42","51"
"female","group D","high school","standard","none","87","100","98"
"female","group C","bachelor's degree","standard","completed","70","75","80"
"male","group A","some high school","free/reduced","none","54","47","41"
"female","group D","some college","free/reduced","completed","56","64","68"
"male","group C","high school","standard","none","78","61","62"
"male","group D","associate's degree","standard","none","78","71","73"
"male","group B","associate's degree","free/reduced","none","55","54","52"
"female","group B","associate's degree","free/reduced","none","36","47","42"
"female","group B","associate's degree","free/reduced","completed","51","62","64"
"male","group E","associate's degree","standard","none","89","71","77"
"female","group B","associate's degree","free/reduced","completed","58","65","75"
"female","group B","some high school","standard","completed","71","76","77"
"female","group B","high school","standard","completed","83","80","83"
"female","group D","associate's degree","free/reduced","none","64","84","78"
"female","group C","bachelor's degree","standard","none","70","82","82"
"female","group D","some high school","standard","none","83","100","95"
"female","group D","some college","standard","none","67","68","75"
"female","group C","high school","standard","completed","73","80","86"
"male","group D","associate's degree","free/reduced","completed","71","70","75"
"male","group D","some college","standard","none","72","59","62"
"male","group E","high school","standard","none","71","57","51"
"female","group C","high school","standard","none","76","78","78"
"male","group C","high school","free/reduced","completed","48","49","43"
"female","group E","some college","standard","none","79","83","81"
"male","group B","associate's degree","standard","none","88","78","82"
"female","group D","some college","standard","completed","65","74","77"
"male","group C","some college","free/reduced","completed","64","68","61"
"male","group D","associate's degree","standard","none","87","91","90"
"female","group C","bachelor's degree","standard","completed","74","80","83"
"female","group C","some high school","free/reduced","none","41","55","46"
"female","group B","some high school","standard","none","61","73","75"
"female","group E","bachelor's degree","standard","none","71","70","75"
"female","group C","some college","standard","completed","82","91","87"
"female","group D","some college","standard","completed","70","77","80"
"male","group C","associate's degree","free/reduced","none","52","43","47"
"male","group D","some college","free/reduced","none","77","80","76"
"male","group D","some college","free/reduced","none","54","57","52"
"female","group C","bachelor's degree","free/reduced","none","61","82","78"
"female","group B","bachelor's degree","free/reduced","completed","57","78","83"
"male","group D","some high school","standard","completed","95","87","84"
"male","group B","high school","standard","none","49","49","41"
"male","group B","some high school","free/reduced","completed","58","65","67"
"female","group D","some college","free/reduced","none","56","63","63"
"male","group D","bachelor's degree","standard","completed","93","88","93"
"male","group E","some college","standard","completed","99","100","91"
"male","group C","some college","free/reduced","none","47","48","42"
"female","group C","bachelor's degree","free/reduced","completed","28","53","42"
"male","group B","high school","standard","none","65","56","52"
"male","group C","some college","standard","none","77","66","56"
"female","group B","master's degree","standard","none","65","84","84"
"female","group D","some college","standard","none","51","54","57"
"male","group C","some college","free/reduced","none","68","71","69"
"male","group B","master's degree","standard","none","91","84","86"
"male","group D","some college","standard","none","59","48","46"
"male","group B","bachelor's degree","standard","none","83","70","73"
"male","group C","associate's degree","standard","none","70","62","62"
"male","group E","master's degree","standard","none","79","73","73"
"female","group B","high school","standard","none","57","63","57"
"male","group B","some college","standard","completed","62","53","52"
"male","group D","associate's degree","free/reduced","none","70","69","62"
"male","group D","high school","free/reduced","completed","61","74","71"
"female","group C","some college","free/reduced","none","22","48","39"
"male","group C","some college","standard","completed","62","55","60"
"female","group C","high school","standard","completed","86","86","83"
"male","group B","master's degree","free/reduced","none","47","55","51"
"female","group E","high school","standard","none","72","82","82"
